Tarefa,Codigo,Predecessor,Data de Inicio,Data de Término
Elaboração dos testes,A,,24/09/2023,26/09/2023
realiza_jogada,B,A,27/09/2023,29/09/2023
Testes e correções,C,AB,29/09/2023,30/09/2023
valida_jogada,D,B,02/10/2023,03/10/2023
captura_peca,E,B,01/10/2023,03/10/2023
verifica_fim,F,B,01/10/2023,01/10/2023
pega_todas_pecas,G,B,01/10/2023,02/10/2023
Teste e implementação valida_jogada,H,D,04/10/2023,05/10/2023
Teste e implementação captura_peca,I,E,04/10/2023,06/10/2023
Teste e implementação verifica_fim,J,F,02/10/2023,03/10/2023
Teste e implementação pega_todas_pecas,K,G,03/10/2023,04/10/2023
atualiza_tabuleiro,L,HIJK,07/10/2023,12/10/2023
Teste e implementação atualiza_tabuleiro,M,L,13/10/2023,16/10/2023
Testes e correções finais,N,M,17/10/2023,22/10/2023
