Tarefa,Codigo,Predecessor,Data de Inicio,Data de Término
Ler aquivo .csv,A,,26/10/2023,27/10/2023
Exibir erro arquivo .csv,B,A,28/10/2023,29/10/2023
Definir estrutura das tarefas,C,,25/10/2023,27/10/2023
Função calcula caminho crítico,D,C,27/10/2023,03/11/2023
Exibir caminho crítico,E,C,29/10/2023,01/11/2023
Erro formatação arquivo,F,A,02/11/2023,03/11/2023
Testes individuais,G,BDE,25/10/2023,10/11/2023
Integração dos módulos de caminho crítico com leitura de dados,H,G,10/11/2023,15/11/2023
Integração dos módulos de vizualização com os demais,I,G,10/11/2023,15/11/2023
Formatação da main,J,HI,15/11/2023,19/11/2023
Testes integrados,K,J,19/11/2023,24/11/2023
